Gene ORF Names	Gene Common Names	Gene Function	Is Regulator?	YeastL51_[air+Hap1-]_rep1	YeastL51_[air+Hap1-]_rep2	YeastL51_[air+Hap1-]_rep3	YeastL51_[anaerobic_Hap1+]_1.5hrs_rep1	YeastL51_[anaerobic_Hap1+]_1.5hrs_rep2	YeastL51_[anaerobic_Hap1+]_1.5hrs_rep3	YeastL51_[air+Hap1+Co+]_rep1	YeastL51_[air+Hap1+Co+]_rep2	YeastL51_[air+Hap1+Co+]_rep3	YeastL51_[anaerobic_Hap1+]_6hrs_rep1	YeastL51_[anaerobic_Hap1+]_6hrs_rep2	YeastL51_[anaerobic_Hap1+]_6hrs_rep3	YeastL51_[anaerobic_Hap1-]_6hrs_rep1	YeastL51_[anaerobic_Hap1-]_6hrs_rep2	YeastL51_[anaerobic_Hap1-]_6hrs_rep3	YeastMHY100_[Heme-]_rep1	YeastMHY100_[Heme-]_rep2	YeastMHY100_[Heme-]_rep3
YAL012W	CYS3|CYI1|FUN35|STR1	cystathionine gamma-lyase activity	FALSE	0.14707313	-0.106416961	0.17660328	-0.446306833	-0.34552534	-0.201774788	0.141290896	-0.758175887	-0.206993695	0.153920948	-0.204634376	-0.153236759	0.073614647	-0.204889289	0.25644508	0.178770124	0.494221809	0.051795416
YAL013W	DEP1|FUN54	molecular function unknown	TRUE	0.114698933	-0.733038238	0.106816237	1.001386713	0.687563928	0.114899921	0.340839022	-1.264905439	-0.248069651	-0.078292936	-0.77430759	-0.099920663	0.476785053	-0.839700506	-0.294364812	-0.126427188	0.779776196	0.211977798
YAL014C	SYN8|SLT2|UIP2	SNAP receptor activity	FALSE	0.173173535	-0.519846821	0.083612307	0.100772132	-0.370787681	0.452487154	0.228128959	-0.855023051	-0.327692342	0.521807451	-0.214383806	-0.267571464	0.523527706	-0.383585643	0.080264147	-0.19172986	0.269950302	0.018316164
YAL015C	NTG1|FUN33|SCR1	DNA-(apurinic or apyrimidinic site) lyase activity*	FALSE	0.523630045	0.54554525	0.368232591	-0.103272015	0.52842414	0.611687049	-0.288376611	0.07934061	-0.315669135	-0.019248888	0.253861899	0.808269635	0.326475851	0.305235184	0.058997485	0.2723751	0.183060759	-0.04120493
YAL016C-B	YAL016C-B	molecular function unknown	FALSE	-0.291667851	0.190746568	0.198521303	-0.860437521	-0.11472568	0.08587009	-0.164290429	0.556205071	-0.00593555	-0.630041576	0.194235353	-0.085830099	-0.096397446	0.03992688	0.184340034	0	0	0
YAL016W	TPD3|FUN32	protein phosphatase type 2A activity	TRUE	-0.050726525	0.787335446	-0.160358947	-0.019838938	0.491133435	0.017762276	0.063076848	1.200334828	-0.078224206	-0.162688293	0.659616969	-0.729560277	-0.087127336	0.605148265	-0.897611689	-0.262180833	-0.460512937	-0.524800552
YAL017W	PSK1|FUN31	protein serine/threonine kinase activity	TRUE	-0.083782851	1.959207798	0.088254088	-0.596161169	1.437662718	0.489865108	-0.033133963	2.088284145	-0.31747722	0.34857787	1.253075878	-0.146138437	-0.237931507	1.205277291	-0.662538889	-0.324824511	0.025647361	-0.129029618
YAL018C	YAL018C	molecular function unknown	FALSE	-0.07379604	-1.246909942	-0.156668059	-0.416564977	-1.475249607	-0.127499668	-0.225581398	-2.127485368	0.214823781	0.752450349	-0.740735262	0.201859854	1.047418318	-0.473427756	1.241424868	0.049147493	0.688297488	0.378626966
YAL019W	FUN30	molecular function unknown	FALSE	-0.026520318	1.520872731	0.244077713	1.051158665	2.998470474	-0.1981757	0.160456708	1.995949758	-0.038809194	-1.127987734	0.447223073	-0.528583844	-0.21617479	0.241968735	-1.992389494	-0.309508407	-0.442211807	-0.196889288
YAL020C	ATS1|FUN28|KTI13	molecular function unknown	FALSE	0.16501899	-1.027078656	0.257535963	-0.555973636	-0.674816781	0.029743911	0.160630006	-1.594671451	-0.245644875	0.173626423	-0.390923568	0.186460393	0.334119157	-0.521486815	0.077611738	-0.294066383	0.640573229	0.309139698
YAL021C	CCR4|FUN27|NUT21	3'-5'-exoribonuclease activity	TRUE	-0.175513007	-0.177315174	0.069721426	0.50080489	0.62872359	0.218559737	0.553596516	-0.548983352	0.206728674	0.032591969	0.055370492	0.462586447	0.618960763	-0.267216058	-0.25048469	-0.114111586	0.592905506	0.182382554
YAL022C	FUN26	nucleoside transporter activity	FALSE	0.270984652	-0.248364369	0.093892386	-0.612506275	-0.32354578	0.112321164	0.677109637	-0.548292123	-0.259067712	0.744527062	0.22100352	0.084899998	0.715970573	0.063549871	0.250036321	0.312997581	0.925373729	0.356751825
YAL023C	PMT2|FUN25	dolichyl-phosphate-mannose-protein mannosyltransferase activity	FALSE	0.059355204	0.216888351	0.074082239	-0.174722154	0.125995818	0.127353352	0.225184264	-0.181824586	0.004329933	0.129253977	0.134542042	0.373194178	0.149678478	0.104065548	-0.302300334	0.01098089	0.45938766	-0.094136422
YAL024C	LTE1|MSI2	guanyl-nucleotide exchange factor activity	FALSE	-0.183510685	0.966335189	0.144085157	0.372892091	2.195218527	0.395268008	0.409062438	2.232601408	0.091369116	-0.474695239	-0.16431904	-0.456992503	-0.769279077	-0.444774962	-1.67968581	-0.286395182	-0.841362457	-0.716187932
YAL025C	MAK16	molecular function unknown	FALSE	0.080594861	-0.03021198	0.222058715	1.063959066	1.844299571	-0.57855859	-0.498210723	0.976794586	-0.353560448	-1.936723115	-0.623988253	-1.391489791	-1.207318445	-0.800139853	-2.414757923	-0.441997339	-0.428590899	-0.809248461
YAL026C	DRS2|FUN38|SWA3	ATPase activity*	FALSE	-0.258237243	1.541723172	0.377414377	0.283506356	2.350769673	0.481507319	-0.00428704	1.867183934	0.205388504	0.316880987	1.457778323	0.554410067	0.346040864	1.285548074	0.097827737	0.067316359	-0.019002823	0.079873508
YAL027W	YAL027W	molecular function unknown	FALSE	0.138199544	-1.128817744	0.289442329	-0.563404331	-1.384871315	-0.221773103	-0.767038325	-2.217584345	-0.987360898	-0.613365033	-1.184117013	-0.903841511	0.188805869	-1.042127507	-0.838186163	-0.057126268	0.155333588	0.093341527
YAL028W	FRT2|HPH2	molecular function unknown	FALSE	0.342355779	-0.322710897	0.594410759	-0.069955621	-1.218063486	0.385118645	-0.791228477	-1.67350358	0.305531675	0.82908415	0.30066206	0.898831324	1.210826008	0.197684861	0.946454016	0.523886522	0.859018843	0.492499231
YAL029C	MYO4|FUN22|SHE1	microfilament motor activity	FALSE	-0.074945213	1.712514165	0.294335154	0.647247032	2.786640299	0.015061557	0.624535473	2.584293433	0.016589653	0.251402468	1.290753727	-0.43759246	0.131773681	1.149589343	-0.630908966	-0.261178539	-0.46323946	-0.431495815
YAL030W	SNC1	v-SNARE activity	FALSE	-0.059743244	0.024758038	0.155765821	-0.97541689	-1.393813163	0.915096923	-0.195041981	0.7829031	-0.463589403	0.116189769	0.412495203	0.671519894	0.16370053	0.486352215	0.36133311	-0.232859265	-0.720979132	-0.149320712
YAL031C	FUN21	molecular function unknown	FALSE	-0.219775675	0.245042637	-0.135592339	0.107195363	0.487777222	0.39406751	0.333715611	0.192965024	-0.304841047	-0.150081474	0.257916968	-0.099220627	0.223523299	0.146477798	-0.593545094	-0.247004393	0.210039517	-0.057061557
YAL032C	PRP45|FUN20	transcriptional activator activity	FALSE	0.009168829	0.126629204	-0.051353269	0.770175734	1.25715014	-0.063346002	0.056455795	0.012099789	-0.394618431	-0.408341259	-0.033648927	-0.235569945	0.080426676	-0.256103868	-0.669139034	-0.055509827	0.387856422	0.16071823
YAL033W	POP5|FUN53	ribonuclease P activity*	FALSE	0.142907135	3.14897894	-0.231746519	-0.744754194	1.138059019	0.224362927	-0.002856756	4.045399622	-0.330809538	-0.157315736	2.284281226	-1.815717628	-0.160257707	1.959994613	-0.977031155	-0.287261752	-0.603950099	-0.152821073
YAL034C	FUN19	molecular function unknown	FALSE	-0.069844629	-0.466287925	-0.187031901	0.654215587	0.43467905	-0.083395665	0.083125235	-1.262148662	-0.21154392	0.16156868	-0.311528566	-0.108834994	0.821769313	-0.317597	-0.587144335	-0.089651758	0.340275807	0.425864046
YAL034W-A	MTW1|DSN3|NSL2	molecular function unknown	FALSE	-0.048468481	0.202814438	0.145548701	-0.141349847	0.40891777	0.621781897	-0.689545217	0.816267023	-0.675693304	-1.343809101	-0.536818174	-1.079836551	-1.542171776	-0.312267615	-1.789100945	-0.129485468	-0.269299259	-0.205657594
YAL035C-A	YAL035C-A	unknown	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208699189	0.082025241	0.399141965
YAL035W	FUN12|yIF2	GTPase activity*	FALSE	-0.195299007	0.35470491	-0.098466218	0.417656857	0.858284821	-0.036670499	0.072731338	0.635459224	0.007132399	-0.602148018	0.011059341	-0.503741497	-0.185545748	-0.133009867	-0.968012957	0.184365066	-0.288834166	-0.244115368
YAL036C	RBG1|FUN11	GTP binding	FALSE	0.1369339	0.323507508	-0.069351732	0.703160015	0.811366093	-0.009700601	0.286275932	0.590582958	0.055895555	-0.512335015	0.317886441	-1.191481679	-0.187435035	0.066022164	-1.256096181	-0.196404307	0.009485657	-0.276155256
YAL037C-A	YAL037C-A	molecular function unknown	FALSE	-0.000495324	-0.899402997	-0.042496257	-0.117738378	-0.7427286	-0.250426172	-0.16372955	-1.53810004	0.377432999	-0.219090237	-1.258588982	0.244083336	0.140764066	-1.852166011	0.418727601	0	0	0
YAL037W	YAL037W	molecular function unknown	FALSE	0.452345056	-0.068809218	0.201371956	-0.123877697	0.42105801	0.394745359	-0.374081142	-1.034233317	-0.517319464	-0.096514361	-0.767918628	-0.024538059	-0.247114251	-1.160345958	-0.963571975	-0.198860337	0.32393445	0.16021252
YAL038W	CDC19|PYK1	pyruvate kinase activity	FALSE	-0.017382018	-0.047930789	0.036491403	0.087008312	0.132438369	-0.056746063	0.002220046	-0.083069906	0.021944862	-0.034467331	0.019329825	0.09842988	0.105387913	0.028188025	0.068221151	0.06492537	0.095113714	0.190258326
YAL039C	CYC3	holocytochrome-c synthase activity	FALSE	0.230721078	-0.122906048	-0.101240041	1.190754606	1.430016025	0.055836123	-0.020286363	-0.781567603	-0.479825292	-0.17487075	-0.201191183	-0.101851877	0.816022972	0.072998763	0.175565947	-1.012771108	0.134968465	-0.273260452
YAL040C	CLN3|DAF1|FUN10|WHI1	cyclin-dependent protein kinase regulator activity	TRUE	-0.16871093	-0.57796962	0.202573018	0.463958998	-0.024188384	0.387682722	0.2485453	-1.432073791	-0.01853664	0.487094865	-0.222341592	0.694523115	0.638213165	-0.354059339	0.738030109	-0.17399167	0.508093871	-0.204949682
YAL041W	CDC24|CLS4	signal transducer activity*	TRUE	-0.198932049	0.469828637	0.058275709	0.372400729	0.692380463	0.23833737	0.210646861	0.584914877	0.010518696	-0.189628151	0.189328876	-0.006333886	-0.278792855	-0.149918046	-0.635930318	-0.05830646	-0.119545202	-0.447423307
YAL042W	ERV46|FUN9	molecular function unknown	FALSE	0.178669622	-0.43768203	0.218126516	-0.048204557	-0.403265015	0.278448791	0.215481542	-1.194270305	-0.358373391	0.21855743	-0.314009408	0.381045923	0.318010317	-0.43566711	0.18322858	0.563062591	0.835540424	0.086603639
YAL043C	PTA1|FUN39	RNA binding	FALSE	0.223431479	-0.688657655	0.001615814	0.669261068	0.427019909	-0.009929177	0.726841683	-1.048866979	0.034286115	0.635578798	-0.198309497	0.396804505	1.175212096	-0.386256067	0.253584174	0.043742193	0.683616679	0.066362066
YAL043C-A	YAL043C-A	unknown	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227362145	0.814986933	0.651830271
YAL044C	GCV3	glycine dehydrogenase (decarboxylating) activity	FALSE	0.336510292	-0.179262984	0.049496208	-0.101345142	-0.181635057	0.331160868	-0.516870448	-0.515545141	-0.518988246	0.107929408	-0.102011205	-0.128766725	0.021790521	-0.435229824	-0.739008022	0.98002746	0.554285662	-0.367759507
YAL044W-A	YAL044W-A	molecular function unknown	FALSE	0.137997115	-0.010680288	0.085287605	-0.567398448	-0.946512864	0.556317605	-0.12550578	1.287013911	-0.532271931	-0.067639547	-0.418661648	-0.739976381	-0.235449816	-0.535909101	-0.27486363	0	0	0
YAL045C	YAL045C	unknown	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124290052	0.33148677	0.728063718
YAL046C	YAL046C	molecular function unknown	FALSE	0.303718604	-0.393635059	-0.040004774	-0.729336211	-2.011675339	0.720029121	-0.117477363	0.203547909	-0.446877065	0.132806345	0.104529213	-0.457916837	0.13153137	0.150663036	0.024849801	-0.215885343	-0.548594092	-0.189038382
YAL047C	SPC72|LDB4	structural constituent of cytoskeleton	FALSE	0.088474991	0.15347269	0.090587426	0.170994222	-0.135200511	0.169904978	-0.45299948	0.768833377	-0.182312965	-1.094839522	-0.545662573	-0.712424926	-0.922779601	-0.161312839	-1.871558478	-0.067392779	0.045206798	-0.029404623
YAL048C	GEM1|GON1	GTPase activity	FALSE	-0.177484449	0.335129609	-0.068531162	0.748645542	0.986303264	0.531422855	0.833273104	0.339960043	-0.3317757	0.425470231	0.69899213	-0.464841943	1.000525304	0.755105051	-1.026646042	0.068531417	0.250832497	-0.264946363
YAL049C	YAL049C	molecular function unknown	FALSE	-0.457109571	0.433252682	-0.487811056	-0.644100939	0.224956728	0.818395382	0.189177035	1.886102536	-0.708656213	-0.454755217	0.410468648	-0.251774667	0.31728951	1.1230478	-0.178688461	-2.172668538	-1.460204371	-1.323970635
YAL051W	OAF1|YAF1	DNA binding*	TRUE	-0.057542921	-0.114449658	0.05600775	0.604223324	0.347775329	0.506825106	0.658876019	-0.12460314	-0.653413559	0.153198633	-0.368828733	-0.259638349	0.577999993	-0.103350713	-0.735719898	-0.367178999	-0.312112332	-0.231603224
YAL053W	YAL053W	molecular function unknown	FALSE	-0.332919413	0.338652635	0.188806529	-0.49446822	0.121118673	0.446347596	0.311273956	0.531376124	-0.045443114	0.655217235	0.847219465	0.440141433	0.516613018	0.899172727	0.796707491	-0.308836605	-0.098722041	-0.233551486
YAL054C	ACS1|FUN44	acetate-CoA ligase activity	FALSE	0.066926986	0.905246381	-0.300386938	-1.532194543	-0.950350842	0.066559471	-0.385720939	1.323570758	-0.46487651	1.129064109	2.203133775	-0.374783792	0.410521908	2.006669277	0.47452386	-0.421395782	-0.081053075	0.108697034
YAL055W	PEX22|YAF5	molecular function unknown	FALSE	0.284695184	-0.801895689	0.173798354	-0.263689409	-0.817696084	0.875431744	-0.627666116	-0.696191117	-0.683040753	-0.685555824	-1.468586055	-0.04898491	-0.680557637	-1.534535526	-0.864170912	-0.379087364	0.154457301	0.035816618
YAL056W	GPB2|KRH1	signal transducer activity	FALSE	0.148143588	1.997919147	0.098563925	0.210633022	1.798466682	-0.168455056	-0.299229873	1.518007021	-0.286088868	-0.998105095	0.515831948	-0.46505662	-0.641239565	0.080583765	-2.49710669	-0.070191812	-0.2358705	-0.404909141
YAL058C-A	YAL058C-A	unknown	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.024785687	0.348498191	0.484276293
YAL058W	CNE1|FUN48	unfolded protein binding	FALSE	0.447448656	-0.421264283	0.210065339	0.613069852	0.52990619	0.370169535	0.741124557	-0.727609473	-0.26213291	1.174332467	0.510816081	-0.157034666	1.334650624	0.45826375	0.495531677	0.239382823	0.533084678	0.333555142
YAL059W	ECM1	molecular function unknown	FALSE	0.539996638	2.116177712	-0.070307975	0.338802269	1.188622089	-0.634735169	-0.557771744	3.557783044	-0.260753596	-1.936760189	0.057376621	-2.893331769	-1.653402988	-0.048591128	-3.269647388	-0.26037584	-1.04648776	-0.644164562
YAL060W	BDH1	"(R,R)-butanediol dehydrogenase activity"	FALSE	0.072088051	0.40736182	0.256921667	-0.739095172	-0.370885822	0.756862708	-0.523965885	-0.661535724	-0.886072004	0.652565595	0.545430667	0.264124821	0.981644917	0.85605663	0.6197584	0.235786345	0.400986397	-0.46964694
YAL061W	YAL061W	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"	FALSE	-0.01274588	-1.207677219	0.121627799	-0.587006685	-1.232422488	-0.338968877	-0.138125935	-2.040241621	-0.610114732	-0.344253681	-1.102897241	0.04898389	-0.120000584	-1.093814357	-0.470353424	-1.017258113	0.743823323	0.089483395
YAL062W	GDH3|FUN51	glutamate dehydrogenase activity	FALSE	0.849821347	-0.309580122	0.469076186	1.153859297	0.446589589	0.522001136	0.76333773	-1.103539107	-0.323678801	2.247494338	1.712784169	0.911875944	2.405013771	1.621098953	1.962896653	0.310583964	1.28565184	1.113060705
YAL063C	FLO9	mannose binding	FALSE	-0.190513687	0.267164781	0.09716568	-0.618393954	0.207248944	-0.034496657	-0.098689776	-0.315802167	-0.641105661	0.229651081	0.19514792	-0.004485812	0.065940441	-0.027582507	-0.265821287	0.118490236	0.471823551	-0.022720271
YAL063C-A	YAL063C-A	molecular function unknown	FALSE	0.198879242	1.130927518	0.260325395	-0.673055652	0.125453612	0.318628574	0.470317487	2.096227579	-0.079186405	1.904885891	2.520325167	-0.419317864	1.628544536	2.502752449	0.03659442	0	0	0
YAL064C-A	YAL064C-A	molecular function unknown	FALSE	-0.167787728	0.610383263	-0.035063266	0.191434978	0.648931324	-0.161692103	0.337826356	0.313154228	-0.085188259	0.004663898	0.768439494	-0.099018182	0.242410089	0.529665152	-0.252010777	-0.021565208	0.293503523	0.244596903
YAL064W	YAL064W	molecular function unknown	FALSE	0.359369304	-0.052686282	-0.015288567	-0.258985879	-0.411623084	-0.404961835	-0.045302812	-0.713880027	-0.428689578	-0.100658751	-0.606276551	-0.352831982	0.7754923	-0.437970129	0.2322192	0.32861087	0.501021601	0.162890571
YAL064W-B	YAL064W-B	molecular function unknown	FALSE	0.049371742	0.010335252	-0.134924234	0.1616509	-0.227627498	-0.289193572	-0.113538613	-0.717244542	-0.180844921	0.120482086	0.183807387	0.118903236	0.277598936	-0.045407377	0.141333579	0.105879825	0.683674212	0.435871417
YAL065C	YAL065C	molecular function unknown	FALSE	0.095096031	-0.11660797	-0.052757648	0.045861774	-0.078579079	0.074421969	0.068143444	-0.602112749	0.035903803	-0.178899446	-0.514052619	-0.122747341	0.145247184	-0.304202321	-0.72221029	0.344650647	0.881008095	0.155615233
YAL066W	YAL066W	unknown	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.499961739	0.247666113	0.19649563
YAL067C	SEO1	transporter activity	FALSE	0.375732262	0.590701085	0.391064965	0.371983251	-0.131637701	0.534882669	0.820492618	0.517652429	0.282096473	2.45537888	1.60960257	0.446040963	2.088738837	1.758421948	1.309953527	0.008753994	0.070920874	-0.007085934
YAL067W-A	YAL067W-A	molecular function unknown	FALSE	-0.231361365	-0.005847477	0.259600252	-0.358249351	-0.34967098	-0.503267433	-0.642846421	-0.774898985	0.100880542	-0.34555093	0.559117213	-0.162385226	0.278388394	0.119807089	0.769075204	0	0	0
YAL068C	YAL068C	molecular function unknown	FALSE	0.416424166	0.290143534	0.616030154	2.020203748	2.254410955	1.041314865	1.526303036	1.314197887	1.144894479	4.107918009	4.882498558	1.304190873	2.903349859	3.466039242	2.372635557	2.096669877	1.50048133	1.287191377
YAL069W	YAL069W	unknown	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117391442	0.710525199	0.663422932
YAR002C-A	ERP1	molecular function unknown	FALSE	0.069182962	0.840624562	-0.050351993	-0.534490358	-0.338687586	-0.04009276	0.019528848	1.546637917	-0.202704158	0.272207054	0.92334688	0.125308971	-0.02548885	0.769514213	-0.024836884	0.028791513	0.113572303	-0.068251057
YAR002W	NUP60	structural constituent of nuclear pore	FALSE	0.082382739	-0.262715365	0.153127246	0.685975768	0.605803752	-0.409259715	0.186187384	-0.256178139	-0.339687858	-0.610194067	-0.55529275	-0.252152162	-0.068052157	-0.684807583	-0.825434346	0.104338024	0.225799489	-0.152543551
YAR003W	SWD1|CPS50|FUN16|SAF49	histone lysine N-methyltransferase activity (H3-K4 specific)	FALSE	0.183937354	-0.504751022	0.170863284	-0.592067587	-0.745209283	-0.136436553	-0.034238195	-1.148917244	-0.295990925	0.059035398	-0.543013319	-0.703315818	0.525817542	-0.977371565	-1.911680554	0.484810001	0.185202619	-0.164387048
YAR007C	RFA1|BUF2|FUN3|RPA1	damaged DNA binding*	FALSE	-0.005756473	0.432450301	0.289168947	-0.301554235	-0.254214075	0.605765709	-0.396535309	-0.380662455	-0.027697776	-0.763362232	-0.747380024	-0.547713129	-0.657215203	-0.843935402	-0.513216014	-0.07726377	-0.575138301	-0.330323359
YAR008W	SEN34|FUN4	tRNA-intron endonuclease activity	FALSE	-0.111885204	1.001755446	0.235517778	-0.22243535	0.486575017	0.209402963	-0.416987234	2.254156513	-0.172694512	-1.435680542	-0.684341037	-0.551887734	-1.938759444	-0.678741815	-1.615769148	-0.075058333	-0.232947787	-0.2363376
YAR009C	YAR009C	unknown	FALSE	-0.05465875	-0.329867046	0.396612405	0.709959793	0.68747695	-0.534360471	0.133728184	-0.148192702	0.106020864	-0.302874373	0.368642063	0.412047747	0.285398861	0.18307565	-0.348886189	0	0	0
YAR010C	YAR010C	unknown	FALSE	-0.37528467	0.067537385	0.053227041	0.595861547	0.457416484	0.031053507	0.271137725	-0.096953304	0.147054126	-0.112693986	0.007761623	-0.212176696	0.149883637	-0.004990905	-1.020083187	0	0	0
YAR014C	BUD14	protein phosphatase type 1 regulator activity	FALSE	-0.040959401	-0.277058364	0.162028323	0.789392405	0.620194668	-0.079440488	0.327539013	-0.534438493	-0.227270855	-0.483712349	-0.805062035	-0.359226562	0.135657997	-0.906119282	-0.676301077	0.138117628	0.208399901	-0.454698404
YAR015W	ADE1	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity	FALSE	0.027989823	0.133998021	-0.061920658	-0.428238613	-0.327499909	-0.036639516	-0.456578569	-0.280814876	-0.442111526	-0.59769455	-0.526171962	-0.34319298	-0.676341895	-0.631167543	-0.905072491	1.080631017	0.013047688	-0.175579235
YAR018C	KIN3|FUN52|NPK1	protein kinase activity	FALSE	-0.269909246	-1.175251132	-0.049873936	0.668819127	-0.210909334	0.991012014	1.040682138	-0.778782712	0.416497996	-0.502034177	-1.110533975	0.654974681	0.295012815	-1.041200712	-0.026341419	-0.013460803	0.129627086	0.190798976
YAR019C	CDC15|LYT1	protein kinase activity	TRUE	-0.053150371	-0.758053909	0.012469126	0.202698377	-0.020834812	0.25460646	0.926420571	-0.987895757	-0.37353336	0.695139231	-0.01950768	0.445271043	1.258098248	-0.120864059	-0.163035303	-0.061532289	0.137773959	0.047635262
YAR020C	PAU7	molecular function unknown	FALSE	0.088376891	0.018851888	0.437066049	-0.375237993	-0.362183852	0.232393855	-0.144687408	-0.853908878	-0.365793558	3.869458061	3.522426984	0.445499452	3.234932915	3.234848505	2.947641551	1.69697827	0.90974812	0.379055351
YAR023C	YAR023C	molecular function unknown	FALSE	0.010399344	0.345677338	0.153740502	-0.330592258	0.104573456	0.064544844	-0.004072812	0.279273609	-0.529835768	0.329133846	0.46640395	-1.084580493	0.224871778	0.316213708	-0.621931089	0.199323237	0.41159117	0.422530581
YAR027W	UIP3	molecular function unknown	FALSE	0.102794855	1.520593047	-0.018987977	-1.184852204	-0.613895879	0.776393662	-0.108204628	3.086658492	-0.146063791	0.674762141	1.705990862	-0.25598057	-0.448091037	1.696399999	0.037151661	0.1328961	-0.626495847	-0.465586752
YAR028W	YAR028W	molecular function unknown	FALSE	0.346628434	2.179722663	0.306086011	-0.048943315	1.461338578	0.433850628	0.286350355	2.704394333	0.340317738	0.816500882	2.409843067	-0.081380262	0.289582218	2.208198583	0.011532816	0.288299334	0.748289356	0.257212937
YAR029W	YAR029W	molecular function unknown	FALSE	0.411936399	0.636832155	0.395395544	0.416082923	1.216996034	0.054003039	0.150380697	0.715157857	0.049715045	0.901403179	0.990053958	0.255033212	0.205992138	0.547058706	-0.414354132	0.690175555	0.549261836	0.164902341
YAR030C	YAR030C	unknown	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26550137	0.34289039	0.479486795
